Name,Address,Phone,Restaurant Website
Bardi's Steak House,"56 York Street, Toronto, ON M5J 1S8",647-849-3738,www.bardis.com/
Queen's Pasta Cafe,"2263 Bloor St W, Toronto, ON M6S 1N8",647-699-1068,queenspasta.com/
Kalyvia Restaurant,"420 Danforth Ave, Toronto, ON M4K 1P3",416-463-3333,www.kalyvia.com/
Mezza Notte Trattoria,"3169 Dufferin St, North York, ON M6A 2S9",416-222-2888,www.mezzanotte.ca/
Dim Sum King,"421 Dundas St W, Toronto, ON M5T 2W4",647-360-4006,www.dimsumkingchinese.ca/
Bardi's Steak House,"56 York Street, Toronto, ON M5J 1S8",647-849-3738,www.bardis.com/
Kingyo Izakaya,"51 Winchester St, Toronto, ON M4X 1A8",647-748-2121,N/A
Taverna Mercatto,"120 Bremner, Toronto, ON M5J 3A6",416-368-9000,taverna.mercatto.ca/
Woods Restaurant,"47 Colborne St, Toronto, ON M5E 1P8",416-214-9918,www.woodsrestaurant.ca/
Halibut House,"103-2151 St Clair Ave W, Toronto, ON M6N 1K5",416-901-7997,halibuthouse.ca/
By The Way,"400 Bloor St W, Toronto, ON M5S 1X5",416-967-4295,www.bytheway.to/
Via Norte Restaurant,"938 College St, Toronto, ON M6H 1A4",647-348-1116,www.facebook.com/vianorterestaurant
Rose And Sons,"176 Dupont St, Toronto, ON M5R 2E6",647-748-3287,roseandsonsbigcrow.com/
Carens Rosedale,"1118 Yonge St, Toronto, ON M4W 2L6",647-352-8111,www.carensrosedale.com/
Soos,"94 Ossington Ave, Toronto, ON M6J 2Z4",416-901-7667,www.soostoronto.com/
Gusto 101,"101 Portland St, Toronto, ON M5V 2N3",416-504-6404,gusto101.com/
Mr. Greek,"333 Bremner Blvd, Toronto, ON M5V 3V3",647-348-4801,www.mrgreek.com/
BnB,"123 Queen Street West, Toronto, ON M5H 2M9",416-361-6363,www.marriott.com/hotels/hotel-information/restaurant/yyztc-sheraton-centre-toronto-hotel/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe&y_source=1_MTIxNDcyNTgtNjAxLWxvY2F0aW9uLndlYnNpdGU%3D
Jabistro,"222 Richmond St W, Toronto, ON M5V 1V6",647-748-0222,www.jabistro.com/
Barrio Coreano,"642 Bloor St W, Toronto, ON M6G 1K9",416-901-5188,www.playacabana.ca/barrio
Arisu,"584 Bloor St W, Toronto, ON M6G 1K4",416-533-8104,www.arisu.ca/
Budapest Restaurant,"2183 Danforth Ave, Toronto, ON M4C 1K4",647-347-5047,www.budapestrestaurant.ca/
The Kennedy Public House,"2199 Bloor St W, Toronto, ON M6S 1N2",416-769-3888,www.thekennedy.com/
The Burger Cellar,"3391 Yonge St, North York, ON M4N 2M8",647-345-0084,www.theburgercellar.com/
Athens Restaurant,"707 Danforth, Toronto, ON M1K 1G4",416-465-4441,www.facebook.com/pages/Athens-Restaurant/121147344594717
Sip Wine Bar,"2 Broadway Ave, Toronto, ON M4P 1T4",647-748-7101,www.sipwinebar.ca/
Butchers Of Distinction,"738 Queen St E, Toronto, ON M4M 1H2",416-466-9191,www.Butchersofdistinction.ca/
Brownes Bistro,"101-1251 Yonge St, Toronto, ON M4T 1W6",416-924-8132,www.brownesbistro.com/
Sake Bar Kushi,"257 Eglinton Ave W, Toronto, ON M4R 1B1",647-748-7253,www.sakebarkushi.ca/
The Peasant Table,"782, Queen St E, Toronto, ON M4M 1H4",647-343-7022,order.ypdine.ca/peasant_table/
Farmhouse Tavern,"1627 Dupont St, Toronto, ON M6P 3S8",416-561-9114,www.facebook.com/FARMHOUSEtavern/
Junction Local,"3076 Dundas St W, Toronto, ON M6P 1Z8",416-766-3841,www.junctionlocal.com/
Oretta,"633 King St W, Toronto, ON M5V 1M5",416-944-1932,oretta.to/
Cano Restaurant,"1108A St Clair Ave W, Toronto, ON M6E 1A7",416-901-3655,www.facebook.com/CANOrestaurant/
Böehmer,"93 Ossington Ave, Toronto, ON M6J 2Z2",416-531-3800,www.boehmer.ca/
