Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,General merchandisers,572754,,2300000,"Bentonville, Arkansas"
2,Amazon,Retail and Cloud Computing,469822,,1608000,"Seattle, Washington"
3,Apple,Electronics industry,365817,,154000,"Cupertino, California"
4,CVS Health,Healthcare,292111,,258000,"Woonsocket, Rhode Island"
5,UnitedHealth Group,Healthcare,287597,,350000,"Minnetonka, Minnesota"
6,Exxon Mobil,Petroleum industry,285640,,63000,"Spring, Texas"
7,Berkshire Hathaway,Conglomerate,276094,,372000,"Omaha, Nebraska"
8,Alphabet,Technology,257637,,156000,"Mountain View, California"
9,McKesson Corporation,Health,238228,,67500,"Irving, Texas"
10,AmerisourceBergen,Pharmaceutical industry,213989,,40000,"Chesterbrook, Pennsylvania"
11,Microsoft,Technology,198087,,181000,"Redmond, Washington"
12,Costco,Retail,195929,,288000,"Issaquah, Washington"
13,Cigna,Health Insurance,174078,,72963,"Bloomfield, Connecticut"
14,AT&T,Conglomerate,168864,,202600,"Dallas, Texas"
15,Cardinal Health,Healthcare,162467,,46827,"Dublin, Ohio"
16,Chevron Corporation,Petroleum industry,162465,,42595,"San Ramon, California"
17,The Home Depot,Retail,151157,,490600,"Atlanta, Georgia"
18,Walgreens Boots Alliance,Pharmaceutical industry,148579,,258500,"Deerfield, Illinois"
19,Marathon Petroleum,Petroleum industry,141032,,17700,"Findlay, Ohio"
20,Elevance Health,Healthcare,138639,,98200,"Indianapolis, Indiana"
21,Kroger,Retail,137888,,420000,"Cincinnati, Ohio"
22,Ford Motor Company,Automotive industry,136341,,183000,"Dearborn, Michigan"
23,Verizon Communications,Telecommunications,133613,,118400,"New York City, New York"
24,JPMorgan Chase,Financial services,127202,,271025,"New York City, New York"
25,General Motors,Automotive,127004,,157000,"Detroit, Michigan"
26,Centene,Healthcare,125982,,72500,"St. Louis, Missouri"
27,Meta Platforms,Technology,117385,,71970,"Menlo Park, California"
28,Comcast,Telecommunications,116385,,189000,"Philadelphia, Pennsylvania"
29,Phillips 66,Petroleum industry,114852,,14000,"Houston, Texas"
30,Valero Energy,Petroleum industry,108332,,9804,"San Antonio, Texas"
31,Dell Technologies,Technology,106995,,133000,"Round Rock, Texas"
32,Target Corporation,Retail,106005,,450000,"Minneapolis, Minnesota"
33,Fannie Mae,Financials,101543,,7400,"Washington, D.C."
34,United Parcel Service,Transportation,97287,,400945,"Atlanta, Georgia"
35,Lowe's,Retail,96250,,270000,"Mooresville, North Carolina"
36,Bank of America,Financials,93851,,208248,"Charlotte, North Carolina"
37,Johnson & Johnson,Pharmaceutical industry,93775,,141700,"New Brunswick, New Jersey"
38,Archer Daniels Midland,Food industry,85959,,39979,"Chicago, Illinois"
39,FedEx,Transportation,83959,,484000,"Memphis, Tennessee"
40,Humana,Health Insurance,83064,,95500,"Louisville, Kentucky"
